id_venta,fecha,motivo_descarte,vendedor_id,vendedor_nombres,vendedor_apellidos,vendedor_documento,id_detalle,id_producto,producto,talla,cantidad_unitaria,precio_unitario,total_producto,total_productos_vendidos,total_pagar
17,2026-01-17,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,5,1575,Zapatos,39,1,160418.52,160418.52,17,1374277.89
18,2025-11-06,venta_invalida,14,Daniela,Torres Quadros,28884941,1,8789,Chaqueta,S,3,153586.27,460758.81,7,-1021965.41
18,2025-11-06,venta_invalida,14,Daniela,Torres Quadros,28884941,2,2922,Sudadera,XXL,4,140301.65,561206.6,7,-1021965.41
19,2025-09-29,venta_invalida,19,Natalia,Rojas Torres,85637973,1,3057,Camiseta,S,-6,51644.41,309866.46,13,875093.44
19,2025-09-29,venta_invalida,19,Natalia,Rojas Torres,85637973,2,3198,Pantalon,40,4,104678.02,418712.08,13,875093.44
19,2025-09-29,venta_invalida,19,Natalia,Rojas Torres,85637973,3,6671,Camiseta,L,2,46803.87,93607.74,13,875093.44
19,2025-09-29,venta_invalida,19,Natalia,Rojas Torres,85637973,4,8189,Camiseta,M,1,52907.16,52907.16,13,875093.44
21,2026-01-13,venta_invalida,5,Pedro,Mendoza Navarro,95722555,1,3242,Zapatos,36,1,-150465.13,150465.13,1,150465.13
25,2026-03-07,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,1,3153,Camiseta,M,4,-47670.07,190680.28,6,278740.62
25,2026-03-07,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,2,6986,Camiseta,XL,2,44030.17,88060.34,6,278740.62
27,2026-01-17,venta_invalida,7,Edward,Vargas Ramirez,17271089,1,8594,Vestido,M,4,97188.06,388752.24,15,1564052.3
27,2026-01-17,venta_invalida,7,Edward,Vargas Ramirez,17271089,2,3602,Zapatos,40,-2,162024.7,324049.4,15,1564052.3
27,2026-01-17,venta_invalida,7,Edward,Vargas Ramirez,17271089,3,2697,Vestido,XL,6,125573.65,753441.9,15,1564052.3
27,2026-01-17,venta_invalida,7,Edward,Vargas Ramirez,17271089,4,2585,Gorra,Unica,3,32602.92,97808.76,15,1564052.3
32,2026-01-30,venta_invalida,24,Alejandra,Vargas Quadros,47589292,1,1645,Chaqueta,S,3,121573.9,364721.7,13,-790524.48
32,2026-01-30,venta_invalida,24,Alejandra,Vargas Quadros,47589292,2,7570,Camiseta,XL,5,57704.33,288521.65,13,-790524.48
32,2026-01-30,venta_invalida,24,Alejandra,Vargas Quadros,47589292,3,6230,Gorra,Unica,1,29768.29,29768.29,13,-790524.48
32,2026-01-30,venta_invalida,24,Alejandra,Vargas Quadros,47589292,4,2394,Gorra,Unica,4,26878.21,107512.84,13,-790524.48
40,2025-12-01,venta_invalida,24,Alejandra,Vargas Quadros,47589292,1,3769,Pantalon,30,3,104276.04,312828.12,9,-522357.95
40,2025-12-01,venta_invalida,24,Alejandra,Vargas Quadros,47589292,2,2395,Gorra,Unica,1,36978.18,36978.18,9,-522357.95
40,2025-12-01,venta_invalida,24,Alejandra,Vargas Quadros,47589292,3,3360,Gorra,Unica,5,34510.33,172551.65,9,-522357.95
43,2026-02-24,venta_invalida,1,Daniela,Ruiz Garcia,43519853,1,6433,Vestido,L,5,-104840.86,524204.3,5,524204.3
45,2025-10-26,venta_invalida,8,Felipe,Sanchez Diaz,97205801,1,8320,Camiseta,XS,4,-55317.66,221270.64,17,1942145.05
45,2025-10-26,venta_invalida,8,Felipe,Sanchez Diaz,97205801,2,1549,Zapatos,36,4,172324.1,689296.4,17,1942145.05
45,2025-10-26,venta_invalida,8,Felipe,Sanchez Diaz,97205801,3,7541,Pantalon,32,4,98300.19,393200.76,17,1942145.05
45,2025-10-26,venta_invalida,8,Felipe,Sanchez Diaz,97205801,4,5985,Sudadera,M,5,127675.45,638377.25,17,1942145.05
51,2026-03-12,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,1,4062,Vestido,XL,5,109853.58,549267.9,10,821165.15
51,2026-03-12,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,2,6144,CAMISETA,S,5,54379.45,271897.25,10,821165.15
53,2025-12-18,venta_invalida,24,Alejandra,Vargas Quadros,47589292,1,7799,Vestido,M,3,106048.91,318146.73,23,2678156.93
53,2025-12-18,venta_invalida,24,Alejandra,Vargas Quadros,47589292,2,1117,Vestido,L,5,87625.94,438129.7,23,2678156.93
53,2025-12-18,venta_invalida,24,Alejandra,Vargas Quadros,47589292,3,7402,Chaqueta,XL,4,141479.81,565919.24,23,2678156.93
53,2025-12-18,venta_invalida,24,Alejandra,Vargas Quadros,47589292,4,2385,Chaqueta,L,-5,114909.82,574549.1,23,2678156.93
53,2025-12-18,venta_invalida,24,Alejandra,Vargas Quadros,47589292,5,1923,Chaqueta,S,6,130235.36,781412.16,23,2678156.93
55,2025-11-02,venta_invalida,18,Camila,Castillo Sanchez,72597961,1,4856,  Zapatos  ,39,5,154942.82,774714.1,5,774714.1
56,2026-01-29,venta_invalida,15,Andres,Castillo Rojas,91197873,1,3883,Sudadera,S,3,135996.07,407988.21,11,1296333.99
56,2026-01-29,venta_invalida,15,Andres,Castillo Rojas,91197873,2,2781,Gorra,Unica,1,29151.15,29151.15,11,1296333.99
56,2026-01-29,venta_invalida,15,Andres,Castillo Rojas,91197873,3,7210,Vestido,S,-5,123730.75,618653.75,11,1296333.99
56,2026-01-29,venta_invalida,15,Andres,Castillo Rojas,91197873,4,3718,Zapatos,39,2,120270.44,240540.88,11,1296333.99
65,2026-02-03,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,1,9365,Pantalon,30,1,97893.93,97893.93,3,171989.37
65,2026-02-03,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,2,9407,  Gorra  ,Unica,2,37047.72,74095.44,3,171989.37
66,2025-10-26,venta_invalida,22,Natalia,Diaz Castro,57468206,1,8476,PANTALON,34,3,101789.03,305367.09,6,654355.35
66,2025-10-26,venta_invalida,22,Natalia,Diaz Castro,57468206,2,2677,Sudadera,XXL,3,116329.42,348988.26,6,654355.35
73,2025-10-21,venta_invalida,25,Laura,Castro Castro,88137437,1,1673,  Pantalon  ,28,6,81348.35,488090.1,6,488090.1
74,2025-10-25,venta_invalida,22,Natalia,Diaz Castro,57468206,1,7365,  Vestido  ,XL,1,114701.96,114701.96,3,312675.12
74,2025-10-25,venta_invalida,22,Natalia,Diaz Castro,57468206,2,9138,Vestido,S,2,98986.58,197973.16,3,312675.12
76,2026-03-02,venta_invalida,14,Daniela,Torres Quadros,28884941,1,5577,Camiseta,XS,1,-42259.43,42259.43,8,336299.13
76,2026-03-02,venta_invalida,14,Daniela,Torres Quadros,28884941,2,5534,Camiseta,M,6,41358.62,248151.72,8,336299.13
76,2026-03-02,venta_invalida,14,Daniela,Torres Quadros,28884941,3,2541,Camiseta,M,1,45887.98,45887.98,8,336299.13
78,2025-09-21,venta_invalida,23,Camila,Navarro Ruiz,13182175,1,5844,Vestido,S,-1,116494.73,116494.73,1,116494.73
79,2025-12-11,venta_invalida,25,Laura,Castro Castro,88137437,1,4751,Pantalon,28,3,-92103.37,276310.11,7,758096.31
79,2025-12-11,venta_invalida,25,Laura,Castro Castro,88137437,2,4323,Chaqueta,S,2,126695.64,253391.28,7,758096.31
79,2025-12-11,venta_invalida,25,Laura,Castro Castro,88137437,3,4794,Vestido,XL,2,114197.46,228394.92,7,758096.31
82,2025-12-14,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,1,4669,Chaqueta,M,5,108443.18,542215.9,5,-542215.9
84,2025-10-09,venta_invalida,25,Laura,Castro Castro,88137437,1,6919,Vestido,M,6,-85250.39,511502.34,9,867013.44
84,2025-10-09,venta_invalida,25,Laura,Castro Castro,88137437,2,9468,Chaqueta,XXL,3,118503.7,355511.1,9,867013.44
90,2025-12-12,venta_invalida,14,Daniela,Torres Quadros,28884941,1,7642,  Zapatos  ,42,5,148055.51,740277.55,7,973539.75
90,2025-12-12,venta_invalida,14,Daniela,Torres Quadros,28884941,2,3095,Sudadera,XXL,2,116631.1,233262.2,7,973539.75
92,2025-10-31,venta_invalida,12,Sofia,Vargas Sanchez,73207542,1,5664,PANTALON,36,2,87997.97,175995.94,2,175995.94
94,2025-10-12,venta_invalida,24,Alejandra,Vargas Quadros,47589292,1,6799,Chaqueta,S,3,125402.4,376207.2,4,487586.97
94,2025-10-12,venta_invalida,24,Alejandra,Vargas Quadros,47589292,2,5795,VESTIDO,XL,1,111379.77,111379.77,4,487586.97
113,2025-09-20,venta_invalida,18,Camila,Castillo Sanchez,72597961,1,8313,Camiseta,S,6,39286.11,235716.66,11,739434.26
113,2025-09-20,venta_invalida,18,Camila,Castillo Sanchez,72597961,2,5201,Sudadera,XXL,5,-100743.52,503717.6,11,739434.26
114,2025-09-21,venta_invalida,5,Pedro,Mendoza Navarro,95722555,1,4120,Gorra,Unica,3,28969.36,86908.08,8,488724.51
114,2025-09-21,venta_invalida,5,Pedro,Mendoza Navarro,95722555,2,1508,Pantalon,28,2,96827.99,193655.98,8,488724.51
114,2025-09-21,venta_invalida,5,Pedro,Mendoza Navarro,95722555,3,5997,Sudadera,L,1,123683.23,123683.23,8,488724.51
114,2025-09-21,venta_invalida,5,Pedro,Mendoza Navarro,95722555,4,5847,Camiseta,S,2,-42238.61,84477.22,8,488724.51
118,2025-12-01,venta_invalida,4,Andres,Martinez Diaz,16792839,1,6904,VESTIDO,M,2,111150.55,222301.1,8,1026256.22
118,2025-12-01,venta_invalida,4,Andres,Martinez Diaz,16792839,2,8899,Chaqueta,XL,6,133992.52,803955.12,8,1026256.22
119,2026-01-13,venta_invalida,24,Alejandra,Vargas Quadros,47589292,1,9411,Zapatos,40,6,173081.05,1038486.3,16,1769298.28
119,2026-01-13,venta_invalida,24,Alejandra,Vargas Quadros,47589292,2,8699,Camiseta,XS,5,-56207.36,281036.8,16,1769298.28
119,2026-01-13,venta_invalida,24,Alejandra,Vargas Quadros,47589292,3,9831,Camiseta,S,2,39608.97,79217.94,16,1769298.28
119,2026-01-13,venta_invalida,24,Alejandra,Vargas Quadros,47589292,4,3920,Chaqueta,XXL,3,123519.08,370557.24,16,1769298.28
121,2025-11-06,venta_invalida,17,Diego,Diaz Castillo,14215995,1,7262,Chaqueta,M,-2,145617.29,291234.58,9,911828.47
121,2025-11-06,venta_invalida,17,Diego,Diaz Castillo,14215995,2,6068,Camiseta,S,1,47297.67,47297.67,9,911828.47
121,2025-11-06,venta_invalida,17,Diego,Diaz Castillo,14215995,3,6764,Pantalon,28,6,95549.37,573296.22,9,911828.47
122,2026-02-05,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,1,5148,  Sudadera  ,L,5,106127.92,530639.6,17,2007367.72
122,2026-02-05,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,2,8998,Chaqueta,XL,2,108570.24,217140.48,17,2007367.72
122,2026-02-05,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,3,3488,Pantalon,30,3,84229.42,252688.26,17,2007367.72
122,2026-02-05,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,4,6611,Zapatos,37,2,156336.49,312672.98,17,2007367.72
122,2026-02-05,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,5,8362,Sudadera,XL,5,138845.28,694226.4,17,2007367.72
123,2025-12-28,venta_invalida,14,Daniela,Torres Quadros,28884941,1,4663,Pantalon,28,3,102642.1,307926.3,6,-673927.17
123,2025-12-28,venta_invalida,14,Daniela,Torres Quadros,28884941,2,2949,Sudadera,M,3,122000.29,366000.87,6,-673927.17
125,2025-10-01,venta_invalida,8,Felipe,Sanchez Diaz,97205801,1,4343,Chaqueta,XL,6,126686.52,760119.12,15,-1633103.02
125,2025-10-01,venta_invalida,8,Felipe,Sanchez Diaz,97205801,2,8698,Sudadera,M,4,127832.6,511330.4,15,-1633103.02
125,2025-10-01,venta_invalida,8,Felipe,Sanchez Diaz,97205801,3,8728,Pantalon,36,5,72330.7,361653.5,15,-1633103.02
129,2025-10-11,venta_invalida,23,Camila,Navarro Ruiz,13182175,1,5102,Pantalon,28,4,83576.3,334305.2,11,1268817.24
129,2025-10-11,venta_invalida,23,Camila,Navarro Ruiz,13182175,2,4392,Chaqueta,S,3,139586.02,418758.06,11,1268817.24
129,2025-10-11,venta_invalida,23,Camila,Navarro Ruiz,13182175,3,1828,ZAPATOS,39,2,154477.7,308955.4,11,1268817.24
129,2025-10-11,venta_invalida,23,Camila,Navarro Ruiz,13182175,4,2029,Pantalon,28,2,103399.29,206798.58,11,1268817.24
131,2025-11-13,venta_invalida,14,Daniela,Torres Quadros,28884941,1,3707,Sudadera,XXL,5,103858.04,519290.2,5,-519290.2
137,2025-10-16,venta_invalida,14,Daniela,Torres Quadros,28884941,1,6047,Zapatos,42,6,129377.08,776262.48,11,1397417.69
137,2025-10-16,venta_invalida,14,Daniela,Torres Quadros,28884941,2,3289,Pantalon,38,2,105129.29,210258.58,11,1397417.69
137,2025-10-16,venta_invalida,14,Daniela,Torres Quadros,28884941,3,7216,Sudadera,XXL,2,131701.66,263403.32,11,1397417.69
137,2025-10-16,venta_invalida,14,Daniela,Torres Quadros,28884941,4,9042,Zapatos,36,-1,147493.31,147493.31,11,1397417.69
140,2025-12-25,venta_invalida,7,Edward,Vargas Ramirez,17271089,1,3507,Camiseta,S,1,42406.3,42406.3,5,530370.54
140,2025-12-25,venta_invalida,7,Edward,Vargas Ramirez,17271089,2,4542,VESTIDO,L,4,121991.06,487964.24,5,530370.54
142,2026-03-12,venta_invalida,22,Natalia,Diaz Castro,57468206,1,8734,GORRA,Unica,2,28284.88,56569.76,2,56569.76
158,2026-01-28,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,1,6046,Vestido,M,4,84708.26,338833.04,20,2695113.14
158,2026-01-28,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,2,2812,Zapatos,38,-6,149300.11,895800.66,20,2695113.14
158,2026-01-28,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,3,8950,Zapatos,41,6,168757.77,1012546.62,20,2695113.14
158,2026-01-28,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,4,9943,Vestido,XL,3,120891.19,362673.57,20,2695113.14
158,2026-01-28,venta_invalida,2,Natalia,MORALES HERNANDEZ,46240312,5,1759,Vestido,L,1,85259.25,85259.25,20,2695113.14
159,2026-02-24,venta_invalida,14,Daniela,Torres Quadros,28884941,1,1009,Vestido,M,-4,85301.97,341207.88,10,942140.82
159,2026-02-24,venta_invalida,14,Daniela,Torres Quadros,28884941,2,1732,Pantalon,36,2,96327.95,192655.9,10,942140.82
159,2026-02-24,venta_invalida,14,Daniela,Torres Quadros,28884941,3,9372,Vestido,M,4,102069.26,408277.04,10,942140.82
165,2026-03-17,venta_invalida,25,Laura,Castro Castro,88137437,1,5864,Gorra,Unica,2,34913.39,69826.78,5,-195886.9
165,2026-03-17,venta_invalida,25,Laura,Castro Castro,88137437,2,2247,Camiseta,S,3,42020.04,126060.12,5,-195886.9
175,2026-03-09,venta_invalida,24,Alejandra,Vargas Quadros,47589292,1,1295,ZAPATOS,36,3,167164.55,501493.65,7,854918.89
175,2026-03-09,venta_invalida,24,Alejandra,Vargas Quadros,47589292,2,5027,Vestido,M,4,88356.31,353425.24,7,854918.89
176,2025-12-03,venta_invalida,17,Diego,Diaz Castillo,14215995,1,3265,SUDADERA,XXL,1,141912.27,141912.27,8,603926.42
176,2025-12-03,venta_invalida,17,Diego,Diaz Castillo,14215995,2,4183,Gorra,Unica,4,26777.71,107110.84,8,603926.42
176,2025-12-03,venta_invalida,17,Diego,Diaz Castillo,14215995,3,3363,Sudadera,L,1,142739.65,142739.65,8,603926.42
176,2025-12-03,venta_invalida,17,Diego,Diaz Castillo,14215995,4,9347,Vestido,S,2,106081.83,212163.66,8,603926.42
181,2026-03-05,venta_invalida,23,Camila,Navarro Ruiz,13182175,1,6205,Pantalon,40,6,-97260.4,583562.4,6,583562.4
185,2025-11-08,venta_invalida,23,Camila,Navarro Ruiz,13182175,1,3120,Camiseta,XS,-4,39177.63,156710.52,23,2193927.27
185,2025-11-08,venta_invalida,23,Camila,Navarro Ruiz,13182175,2,1632,Sudadera,XL,6,106924.74,641548.44,23,2193927.27
185,2025-11-08,venta_invalida,23,Camila,Navarro Ruiz,13182175,3,9516,Vestido,XL,6,113918.49,683510.94,23,2193927.27
185,2025-11-08,venta_invalida,23,Camila,Navarro Ruiz,13182175,4,1256,Vestido,M,5,99424.43,497122.15,23,2193927.27
185,2025-11-08,venta_invalida,23,Camila,Navarro Ruiz,13182175,5,5739,Chaqueta,XL,2,107517.61,215035.22,23,2193927.27
187,2025-10-24,venta_invalida,4,Andres,Martinez Diaz,16792839,1,8057,Zapatos,36,6,131828.94,790973.64,19,-2219125.23
187,2025-10-24,venta_invalida,4,Andres,Martinez Diaz,16792839,2,8379,Pantalon,28,1,108319.93,108319.93,19,-2219125.23
187,2025-10-24,venta_invalida,4,Andres,Martinez Diaz,16792839,3,7242,Chaqueta,XXL,5,116030.48,580152.4,19,-2219125.23
187,2025-10-24,venta_invalida,4,Andres,Martinez Diaz,16792839,4,4793,Pantalon,38,6,105718.36,634310.16,19,-2219125.23
187,2025-10-24,venta_invalida,4,Andres,Martinez Diaz,16792839,5,8408,Chaqueta,XL,1,105369.1,105369.1,19,-2219125.23
188,2025-11-23,venta_invalida,11,Sofia,Hernandez Romero,49338282,1,8648,Camiseta,XS,4,-52557.38,210229.52,18,1800078.3
188,2025-11-23,venta_invalida,11,Sofia,Hernandez Romero,49338282,2,7631,Pantalon,40,5,106508.19,532540.95,18,1800078.3
188,2025-11-23,venta_invalida,11,Sofia,Hernandez Romero,49338282,3,5789,Vestido,XL,5,104988.67,524943.35,18,1800078.3
188,2025-11-23,venta_invalida,11,Sofia,Hernandez Romero,49338282,4,6484,Chaqueta,XXL,4,133091.12,532364.48,18,1800078.3
190,2025-12-29,venta_invalida,8,Felipe,Sanchez Diaz,97205801,1,1600,Chaqueta,L,6,137823.82,826942.92,13,1923315.17
190,2025-12-29,venta_invalida,8,Felipe,Sanchez Diaz,97205801,2,7431,Chaqueta,M,1,108730.67,108730.67,13,1923315.17
190,2025-12-29,venta_invalida,8,Felipe,Sanchez Diaz,97205801,3,6485,ZAPATOS,36,6,164606.93,987641.58,13,1923315.17
191,2025-12-30,venta_invalida,14,Daniela,Torres Quadros,28884941,1,7651,  Chaqueta  ,L,4,138013.42,552053.68,4,552053.68
192,2026-01-13,venta_invalida,22,Natalia,Diaz Castro,57468206,1,9986,Zapatos,37,2,132202.84,264405.68,16,1514708.66
192,2026-01-13,venta_invalida,22,Natalia,Diaz Castro,57468206,2,8726,Camiseta,S,-6,47995.16,287970.96,16,1514708.66
192,2026-01-13,venta_invalida,22,Natalia,Diaz Castro,57468206,3,7326,Pantalon,36,3,82141.79,246425.37,16,1514708.66
192,2026-01-13,venta_invalida,22,Natalia,Diaz Castro,57468206,4,1377,Zapatos,38,5,143181.33,715906.65,16,1514708.66
197,2025-12-11,venta_invalida,5,Pedro,Mendoza Navarro,95722555,1,7001,Vestido,M,6,83464.71,500788.26,17,1438371.13
197,2025-12-11,venta_invalida,5,Pedro,Mendoza Navarro,95722555,2,1715,Sudadera,XXL,1,128226.7,128226.7,17,1438371.13
197,2025-12-11,venta_invalida,5,Pedro,Mendoza Navarro,95722555,3,5452,Camiseta,L,4,-52409.46,209637.84,17,1438371.13
197,2025-12-11,venta_invalida,5,Pedro,Mendoza Navarro,95722555,4,8068,Vestido,S,5,92200.95,461004.75,17,1438371.13
197,2025-12-11,venta_invalida,5,Pedro,Mendoza Navarro,95722555,5,3251,Sudadera,S,1,138713.58,138713.58,17,1438371.13
198,2025-12-29,venta_invalida,19,Natalia,Rojas Torres,85637973,1,2577,Vestido,S,5,84847.32,424236.6,14,-1363353.08
198,2025-12-29,venta_invalida,19,Natalia,Rojas Torres,85637973,2,9813,Camiseta,M,4,38800.82,155203.28,14,-1363353.08
198,2025-12-29,venta_invalida,19,Natalia,Rojas Torres,85637973,3,8543,Zapatos,39,5,156782.64,783913.2,14,-1363353.08
