id_venta,fecha,vendedor_id,vendedor_nombres,vendedor_apellidos,vendedor_documento,id_detalle,id_producto,producto,talla,cantidad_unitaria,precio_unitario,total_producto,total_productos_vendidos,total_pagar
31,2026-03-09,24,Alejandra,Vargas Quadros,47589292,1,6138,Zapatos,39,2,154028.34,308056.68,8,967545.42
31,2026-03-09,24,Alejandra,Vargas Quadros,47589292,2,7555,Vestido,S,6,109914.79,659488.74,8,967545.42
33,2025-09-19,5,Pedro,Mendoza Navarro,95722555,1,8411,Pantalon,28,5,93547.52,467737.6,5,467737.6
34,2026-01-26,14,Daniela,Torres Quadros,28884941,1,3599,Vestido,M,6,117102.95,702617.7,15,1135420.54
34,2026-01-26,14,Daniela,Torres Quadros,28884941,2,5032,Camiseta,XXL,5,58315.72,291578.6,15,1135420.54
34,2026-01-26,14,Daniela,Torres Quadros,28884941,3,8718,Gorra,Unica,4,35306.06,141224.24,15,1135420.54
35,2026-01-07,23,Camila,Navarro Ruiz,13182175,1,6546,Sudadera,L,1,98800.47,98800.47,1,98800.47
36,2025-11-30,19,Natalia,Rojas Torres,85637973,1,4176,Camiseta,L,1,51805.51,51805.51,11,834309.76
36,2025-11-30,19,Natalia,Rojas Torres,85637973,2,4557,Zapatos,39,5,117556.51,587782.55,11,834309.76
36,2025-11-30,19,Natalia,Rojas Torres,85637973,3,2477,Gorra,Unica,5,38944.34,194721.7,11,834309.76
37,2026-01-07,1,Daniela,Ruiz Garcia,43519853,1,7982,Gorra,Unica,1,36985.95,36985.95,4,131403.39
37,2026-01-07,1,Daniela,Ruiz Garcia,43519853,2,4816,Gorra,Unica,3,31472.48,94417.44,4,131403.39
38,2026-02-11,20,Valentina,Sanchez Castro,61615516,1,4651,Sudadera,XXL,2,95594.69,191189.38,7,436967.18
38,2026-02-11,20,Valentina,Sanchez Castro,61615516,2,4364,Gorra,Unica,4,30702.99,122811.96,7,436967.18
38,2026-02-11,20,Valentina,Sanchez Castro,61615516,3,3232,Chaqueta,M,1,122965.84,122965.84,7,436967.18
39,2026-03-14,21,Pedro,Mendoza Sanchez,82192051,1,8014,Pantalon,38,2,107845.71,215691.42,21,1592322.04
39,2026-03-14,21,Pedro,Mendoza Sanchez,82192051,2,2786,Camiseta,XXL,6,56673.01,340038.06,21,1592322.04
39,2026-03-14,21,Pedro,Mendoza Sanchez,82192051,3,2855,Camiseta,XXL,6,55496.15,332976.9,21,1592322.04
39,2026-03-14,21,Pedro,Mendoza Sanchez,82192051,4,4099,Vestido,M,2,101696.03,203392.06,21,1592322.04
39,2026-03-14,21,Pedro,Mendoza Sanchez,82192051,5,6143,Pantalon,34,5,100044.72,500223.6,21,1592322.04
41,2025-10-28,12,Sofia,Vargas Sanchez,73207542,1,7858,Pantalon,28,1,108603.62,108603.62,3,338227.96
41,2025-10-28,12,Sofia,Vargas Sanchez,73207542,2,9236,Vestido,L,2,114812.17,229624.34,3,338227.96
42,2026-01-17,7,Edward,Vargas Ramirez,17271089,1,5741,Camiseta,L,6,53851.13,323106.78,7,365171.77
42,2026-01-17,7,Edward,Vargas Ramirez,17271089,2,9982,Camiseta,L,1,42064.99,42064.99,7,365171.77
44,2026-01-10,24,Alejandra,Vargas Quadros,47589292,1,9376,Pantalon,36,6,100610.21,603661.26,7,641966.38
44,2026-01-10,24,Alejandra,Vargas Quadros,47589292,2,5573,Camiseta,XXL,1,38305.12,38305.12,7,641966.38
46,2026-01-22,24,Alejandra,Vargas Quadros,47589292,1,5489,Gorra,Unica,4,35305.82,141223.28,4,141223.28
47,2025-12-24,4,Andres,Martinez Diaz,16792839,1,2349,Sudadera,S,1,94981.08,94981.08,8,905018.07
47,2025-12-24,4,Andres,Martinez Diaz,16792839,2,1089,Vestido,L,6,115301.14,691806.84,8,905018.07
47,2025-12-24,4,Andres,Martinez Diaz,16792839,3,5413,Sudadera,XXL,1,118230.15,118230.15,8,905018.07
48,2025-09-22,14,Daniela,Torres Quadros,28884941,1,7701,Gorra,Unica,6,30536.81,183220.86,11,411381.58
48,2025-09-22,14,Daniela,Torres Quadros,28884941,2,5948,Camiseta,L,3,52018.33,156054.99,11,411381.58
48,2025-09-22,14,Daniela,Torres Quadros,28884941,3,7822,Gorra,Unica,1,27172.98,27172.98,11,411381.58
48,2025-09-22,14,Daniela,Torres Quadros,28884941,4,6394,Camiseta,S,1,44932.75,44932.75,11,411381.58
49,2025-10-30,7,Edward,Vargas Ramirez,17271089,1,2143,Chaqueta,XL,6,115380.22,692281.32,19,1930041.99
49,2025-10-30,7,Edward,Vargas Ramirez,17271089,2,9794,Chaqueta,L,1,139164.87,139164.87,19,1930041.99
49,2025-10-30,7,Edward,Vargas Ramirez,17271089,3,3324,Zapatos,39,6,156271.44,937628.64,19,1930041.99
49,2025-10-30,7,Edward,Vargas Ramirez,17271089,4,2824,Gorra,Unica,6,26827.86,160967.16,19,1930041.99
50,2026-01-07,8,Felipe,Sanchez Diaz,97205801,1,3225,Sudadera,XXL,6,130429.39,782576.34,7,901201.01
50,2026-01-07,8,Felipe,Sanchez Diaz,97205801,2,8861,Chaqueta,XL,1,118624.67,118624.67,7,901201.01
52,2025-10-22,1,Daniela,Ruiz Garcia,43519853,1,9068,Chaqueta,XXL,1,102961.07,102961.07,10,415043.11
52,2025-10-22,1,Daniela,Ruiz Garcia,43519853,2,6424,Gorra,Unica,4,26141.45,104565.8,10,415043.11
52,2025-10-22,1,Daniela,Ruiz Garcia,43519853,3,6721,Camiseta,XXL,3,49466.6,148399.8,10,415043.11
52,2025-10-22,1,Daniela,Ruiz Garcia,43519853,4,4161,Gorra,Unica,2,29558.22,59116.44,10,415043.11
54,2025-11-24,20,Valentina,Sanchez Castro,61615516,1,4722,Chaqueta,XL,5,155962.56,779812.8,5,779812.8
57,2026-03-18,2,Natalia,MORALES HERNANDEZ,46240312,1,2743,Sudadera,S,3,101344.56,304033.68,19,1522712.22
57,2026-03-18,2,Natalia,MORALES HERNANDEZ,46240312,2,4139,Chaqueta,L,6,141127.84,846767.04,19,1522712.22
57,2026-03-18,2,Natalia,MORALES HERNANDEZ,46240312,3,7445,Camiseta,L,6,42807.79,256846.74,19,1522712.22
57,2026-03-18,2,Natalia,MORALES HERNANDEZ,46240312,4,6342,Gorra,Unica,4,28766.19,115064.76,19,1522712.22
58,2026-02-21,1,Daniela,Ruiz Garcia,43519853,1,6329,Vestido,L,6,85992.44,515954.64,20,1392941.87
58,2026-02-21,1,Daniela,Ruiz Garcia,43519853,2,6601,Gorra,Unica,3,32838.02,98514.06,20,1392941.87
58,2026-02-21,1,Daniela,Ruiz Garcia,43519853,3,4000,Chaqueta,L,3,115363.25,346089.75,20,1392941.87
58,2026-02-21,1,Daniela,Ruiz Garcia,43519853,4,9280,Camiseta,XS,6,55300.85,331805.1,20,1392941.87
58,2026-02-21,1,Daniela,Ruiz Garcia,43519853,5,3037,Camiseta,M,2,50289.16,100578.32,20,1392941.87
59,2025-11-10,24,Alejandra,Vargas Quadros,47589292,1,9088,Pantalon,28,4,90342.98,361371.92,7,614653.88
59,2025-11-10,24,Alejandra,Vargas Quadros,47589292,2,2823,Pantalon,38,3,84427.32,253281.96,7,614653.88
60,2025-10-28,2,Natalia,MORALES HERNANDEZ,46240312,1,6995,Pantalon,36,6,102092.26,612553.56,17,1275747.13
60,2025-10-28,2,Natalia,MORALES HERNANDEZ,46240312,2,2602,Pantalon,36,5,94333.45,471667.25,17,1275747.13
60,2025-10-28,2,Natalia,MORALES HERNANDEZ,46240312,3,8801,Gorra,Unica,4,35073.36,140293.44,17,1275747.13
60,2025-10-28,2,Natalia,MORALES HERNANDEZ,46240312,4,4376,Gorra,Unica,2,25616.44,51232.88,17,1275747.13
61,2026-01-28,14,Daniela,Torres Quadros,28884941,1,3741,Camiseta,XL,4,51869.77,207479.08,19,1517290.48
61,2026-01-28,14,Daniela,Torres Quadros,28884941,2,9996,Vestido,XL,4,98516.77,394067.08,19,1517290.48
61,2026-01-28,14,Daniela,Torres Quadros,28884941,3,1196,Gorra,Unica,3,27443.58,82330.74,19,1517290.48
61,2026-01-28,14,Daniela,Torres Quadros,28884941,4,4659,Chaqueta,XXL,6,110192.25,661153.5,19,1517290.48
61,2026-01-28,14,Daniela,Torres Quadros,28884941,5,8556,Pantalon,40,2,86130.04,172260.08,19,1517290.48
62,2026-02-03,1,Daniela,Ruiz Garcia,43519853,1,5089,Camiseta,XXL,2,55181.24,110362.48,6,508393.17
62,2026-02-03,1,Daniela,Ruiz Garcia,43519853,2,4363,Sudadera,S,1,129738.71,129738.71,6,508393.17
62,2026-02-03,1,Daniela,Ruiz Garcia,43519853,3,6018,Vestido,S,3,89430.66,268291.98,6,508393.17
63,2026-01-26,4,Andres,Martinez Diaz,16792839,1,9303,Camiseta,XL,2,50475.28,100950.56,5,520149.99
63,2026-01-26,4,Andres,Martinez Diaz,16792839,2,4600,Chaqueta,M,1,155030.93,155030.93,5,520149.99
63,2026-01-26,4,Andres,Martinez Diaz,16792839,3,4731,Sudadera,L,2,132084.25,264168.5,5,520149.99
64,2025-10-25,11,Sofia,Hernandez Romero,49338282,1,1898,Camiseta,XS,2,45195.42,90390.84,16,1372566.55
64,2025-10-25,11,Sofia,Hernandez Romero,49338282,2,7125,Pantalon,34,2,96828.84,193657.68,16,1372566.55
64,2025-10-25,11,Sofia,Hernandez Romero,49338282,3,8801,Camiseta,L,6,49282.7,295696.2,16,1372566.55
64,2025-10-25,11,Sofia,Hernandez Romero,49338282,4,2949,Chaqueta,XL,5,131345.0,656725.0,16,1372566.55
64,2025-10-25,11,Sofia,Hernandez Romero,49338282,5,3548,Sudadera,S,1,136096.83,136096.83,16,1372566.55
67,2026-01-15,8,Felipe,Sanchez Diaz,97205801,1,1792,Gorra,Unica,6,25733.68,154402.08,15,782447.49
67,2026-01-15,8,Felipe,Sanchez Diaz,97205801,2,7561,Gorra,Unica,6,38181.07,229086.42,15,782447.49
67,2026-01-15,8,Felipe,Sanchez Diaz,97205801,3,2206,Chaqueta,XXL,3,132986.33,398958.99,15,782447.49
68,2025-10-13,20,Valentina,Sanchez Castro,61615516,1,8499,Zapatos,38,2,167418.0,334836.0,7,1009657.35
68,2025-10-13,20,Valentina,Sanchez Castro,61615516,2,3147,Chaqueta,L,5,134964.27,674821.35,7,1009657.35
69,2025-09-29,19,Natalia,Rojas Torres,85637973,1,1802,Sudadera,XL,4,138062.39,552249.56,9,1102727.71
69,2025-09-29,19,Natalia,Rojas Torres,85637973,2,7139,Vestido,XL,3,94709.75,284129.25,9,1102727.71
69,2025-09-29,19,Natalia,Rojas Torres,85637973,3,5951,Chaqueta,M,2,133174.45,266348.9,9,1102727.71
70,2025-12-29,12,Sofia,Vargas Sanchez,73207542,1,9750,Sudadera,L,2,135873.21,271746.42,2,271746.42
71,2025-10-14,4,Andres,Martinez Diaz,16792839,1,3232,Vestido,S,1,93085.37,93085.37,3,372809.63
71,2025-10-14,4,Andres,Martinez Diaz,16792839,2,4667,Zapatos,37,2,139862.13,279724.26,3,372809.63
72,2025-09-27,12,Sofia,Vargas Sanchez,73207542,1,8988,Pantalon,38,1,100431.37,100431.37,6,783676.27
72,2025-09-27,12,Sofia,Vargas Sanchez,73207542,2,6397,Sudadera,L,5,136648.98,683244.9,6,783676.27
75,2025-09-22,25,Laura,Castro Castro,88137437,1,4678,Vestido,XL,2,84080.61,168161.22,13,1184226.49
75,2025-09-22,25,Laura,Castro Castro,88137437,2,8292,Gorra,Unica,6,35609.11,213654.66,13,1184226.49
75,2025-09-22,25,Laura,Castro Castro,88137437,3,3254,Zapatos,39,2,173828.12,347656.24,13,1184226.49
75,2025-09-22,25,Laura,Castro Castro,88137437,4,4653,Zapatos,40,1,146505.39,146505.39,13,1184226.49
75,2025-09-22,25,Laura,Castro Castro,88137437,5,3468,Zapatos,40,2,154124.49,308248.98,13,1184226.49
77,2026-01-17,21,Pedro,Mendoza Sanchez,82192051,1,1834,Vestido,XL,4,99295.32,397181.28,19,2336126.82
77,2026-01-17,21,Pedro,Mendoza Sanchez,82192051,2,3811,Zapatos,42,4,164174.69,656698.76,19,2336126.82
77,2026-01-17,21,Pedro,Mendoza Sanchez,82192051,3,7208,Vestido,XL,5,84033.56,420167.8,19,2336126.82
77,2026-01-17,21,Pedro,Mendoza Sanchez,82192051,4,8678,Zapatos,40,6,143679.83,862078.98,19,2336126.82
80,2026-01-13,18,Camila,Castillo Sanchez,72597961,1,8523,Sudadera,S,5,125721.77,628608.85,5,628608.85
81,2025-11-01,2,Natalia,MORALES HERNANDEZ,46240312,1,6269,Gorra,Unica,2,37513.5,75027.0,12,1081787.05
81,2025-11-01,2,Natalia,MORALES HERNANDEZ,46240312,2,1654,Vestido,L,5,97914.0,489570.0,12,1081787.05
81,2025-11-01,2,Natalia,MORALES HERNANDEZ,46240312,3,8103,Sudadera,S,5,103438.01,517190.05,12,1081787.05
83,2025-12-09,25,Laura,Castro Castro,88137437,1,1461,Pantalon,34,1,109518.82,109518.82,7,578347.48
83,2025-12-09,25,Laura,Castro Castro,88137437,2,9861,Pantalon,38,6,78138.11,468828.66,7,578347.48
85,2026-01-03,25,Laura,Castro Castro,88137437,1,3063,Camiseta,XS,4,51870.73,207482.92,4,207482.92
86,2025-09-19,2,Natalia,MORALES HERNANDEZ,46240312,1,1356,Sudadera,XL,3,112319.61,336958.83,13,1284107.32
86,2025-09-19,2,Natalia,MORALES HERNANDEZ,46240312,2,9181,Chaqueta,L,5,118432.7,592163.5,13,1284107.32
86,2025-09-19,2,Natalia,MORALES HERNANDEZ,46240312,3,8090,Gorra,Unica,1,34426.19,34426.19,13,1284107.32
86,2025-09-19,2,Natalia,MORALES HERNANDEZ,46240312,4,3877,Vestido,S,3,94219.58,282658.74,13,1284107.32
86,2025-09-19,2,Natalia,MORALES HERNANDEZ,46240312,5,3508,Gorra,Unica,1,37900.06,37900.06,13,1284107.32
87,2025-10-02,11,Sofia,Hernandez Romero,49338282,1,5667,Vestido,M,4,105063.4,420253.6,4,420253.6
88,2026-03-07,15,Andres,Castillo Rojas,91197873,1,5792,Vestido,XL,3,117376.29,352128.87,12,1126512.57
88,2026-03-07,15,Andres,Castillo Rojas,91197873,2,4209,Vestido,S,2,126348.77,252697.54,12,1126512.57
88,2026-03-07,15,Andres,Castillo Rojas,91197873,3,5165,Vestido,XL,5,83506.62,417533.1,12,1126512.57
88,2026-03-07,15,Andres,Castillo Rojas,91197873,4,1634,Camiseta,XL,2,52076.53,104153.06,12,1126512.57
89,2025-10-28,2,Natalia,MORALES HERNANDEZ,46240312,1,9173,Gorra,Unica,2,38224.68,76449.36,5,243830.85
89,2025-10-28,2,Natalia,MORALES HERNANDEZ,46240312,2,6363,Camiseta,XXL,3,55793.83,167381.49,5,243830.85
91,2026-02-12,7,Edward,Vargas Ramirez,17271089,1,2096,Gorra,Unica,6,35484.8,212908.8,7,264147.79
91,2026-02-12,7,Edward,Vargas Ramirez,17271089,2,6818,Camiseta,XXL,1,51238.99,51238.99,7,264147.79
93,2025-12-08,4,Andres,Martinez Diaz,16792839,1,3086,Sudadera,L,6,113827.12,682962.72,17,1357944.43
93,2025-12-08,4,Andres,Martinez Diaz,16792839,2,8489,Sudadera,M,5,99962.15,499810.75,17,1357944.43
93,2025-12-08,4,Andres,Martinez Diaz,16792839,3,7711,Gorra,Unica,6,29195.16,175170.96,17,1357944.43
95,2025-12-02,22,Natalia,Diaz Castro,57468206,1,5004,Vestido,L,1,103483.94,103483.94,2,147608.66
95,2025-12-02,22,Natalia,Diaz Castro,57468206,2,5689,Camiseta,S,1,44124.72,44124.72,2,147608.66
96,2025-10-26,22,Natalia,Diaz Castro,57468206,1,6918,Sudadera,S,4,95515.18,382060.72,19,1854103.12
96,2025-10-26,22,Natalia,Diaz Castro,57468206,2,5332,Sudadera,XL,5,98885.29,494426.45,19,1854103.12
96,2025-10-26,22,Natalia,Diaz Castro,57468206,3,5888,Vestido,L,6,106155.2,636931.2,19,1854103.12
96,2025-10-26,22,Natalia,Diaz Castro,57468206,4,8280,Gorra,Unica,1,30965.41,30965.41,19,1854103.12
96,2025-10-26,22,Natalia,Diaz Castro,57468206,5,8249,Pantalon,28,3,103239.78,309719.34,19,1854103.12
97,2026-03-07,7,Edward,Vargas Ramirez,17271089,1,1280,Chaqueta,L,6,109176.25,655057.5,11,1120760.98
97,2026-03-07,7,Edward,Vargas Ramirez,17271089,2,1390,Pantalon,30,1,81361.12,81361.12,11,1120760.98
97,2026-03-07,7,Edward,Vargas Ramirez,17271089,3,9940,Pantalon,38,4,96085.59,384342.36,11,1120760.98
98,2025-11-05,20,Valentina,Sanchez Castro,61615516,1,6587,Pantalon,34,1,100527.6,100527.6,13,1016358.95
98,2025-11-05,20,Valentina,Sanchez Castro,61615516,2,4126,Chaqueta,XL,5,106243.39,531216.95,13,1016358.95
98,2025-11-05,20,Valentina,Sanchez Castro,61615516,3,2745,Gorra,Unica,5,27325.06,136625.3,13,1016358.95
98,2025-11-05,20,Valentina,Sanchez Castro,61615516,4,3866,Zapatos,38,2,123994.55,247989.1,13,1016358.95
99,2026-01-16,8,Felipe,Sanchez Diaz,97205801,1,4977,Vestido,L,3,99042.31,297126.93,16,1961771.75
99,2026-01-16,8,Felipe,Sanchez Diaz,97205801,2,9313,Chaqueta,XXL,6,141015.86,846095.16,16,1961771.75
99,2026-01-16,8,Felipe,Sanchez Diaz,97205801,3,5555,Gorra,Unica,1,28147.34,28147.34,16,1961771.75
99,2026-01-16,8,Felipe,Sanchez Diaz,97205801,4,9949,Zapatos,39,6,131733.72,790402.32,16,1961771.75
100,2025-12-12,7,Edward,Vargas Ramirez,17271089,1,8628,Pantalon,38,4,97193.73,388774.92,16,1568672.33
100,2025-12-12,7,Edward,Vargas Ramirez,17271089,2,6568,Pantalon,36,6,95365.52,572193.12,16,1568672.33
100,2025-12-12,7,Edward,Vargas Ramirez,17271089,3,6538,Sudadera,XL,3,123061.25,369183.75,16,1568672.33
100,2025-12-12,7,Edward,Vargas Ramirez,17271089,4,9944,Pantalon,30,2,74366.71,148733.42,16,1568672.33
100,2025-12-12,7,Edward,Vargas Ramirez,17271089,5,7458,Vestido,L,1,89787.12,89787.12,16,1568672.33
101,2026-03-05,18,Camila,Castillo Sanchez,72597961,1,8994,Camiseta,XS,1,47874.16,47874.16,15,1176013.2
101,2026-03-05,18,Camila,Castillo Sanchez,72597961,2,3427,Vestido,XL,6,86765.07,520590.42,15,1176013.2
101,2026-03-05,18,Camila,Castillo Sanchez,72597961,3,2964,Chaqueta,XXL,2,109307.31,218614.62,15,1176013.2
101,2026-03-05,18,Camila,Castillo Sanchez,72597961,4,3522,Vestido,S,2,124650.4,249300.8,15,1176013.2
101,2026-03-05,18,Camila,Castillo Sanchez,72597961,5,4772,Gorra,Unica,4,34908.3,139633.2,15,1176013.2
102,2026-02-28,15,Andres,Castillo Rojas,91197873,1,8533,Zapatos,37,5,162437.16,812185.8,12,1467675.05
102,2026-02-28,15,Andres,Castillo Rojas,91197873,2,2145,Sudadera,XL,1,105111.79,105111.79,12,1467675.05
102,2026-02-28,15,Andres,Castillo Rojas,91197873,3,9583,Sudadera,XXL,2,103495.87,206991.74,12,1467675.05
102,2026-02-28,15,Andres,Castillo Rojas,91197873,4,3335,Vestido,XL,4,85846.43,343385.72,12,1467675.05
103,2026-03-14,1,Daniela,Ruiz Garcia,43519853,1,9792,Gorra,Unica,2,26116.55,52233.1,2,52233.1
104,2025-11-19,22,Natalia,Diaz Castro,57468206,1,6708,Pantalon,28,6,103865.84,623195.04,23,2569430.32
104,2025-11-19,22,Natalia,Diaz Castro,57468206,2,4598,Chaqueta,XXL,5,107201.36,536006.8,23,2569430.32
104,2025-11-19,22,Natalia,Diaz Castro,57468206,3,3303,Sudadera,S,6,128945.98,773675.88,23,2569430.32
104,2025-11-19,22,Natalia,Diaz Castro,57468206,4,2651,Sudadera,XXL,6,106092.1,636552.6,23,2569430.32
105,2025-10-14,8,Felipe,Sanchez Diaz,97205801,1,9783,Pantalon,40,3,84194.98,252584.94,11,909543.34
105,2025-10-14,8,Felipe,Sanchez Diaz,97205801,2,1656,Vestido,XL,4,111883.66,447534.64,11,909543.34
105,2025-10-14,8,Felipe,Sanchez Diaz,97205801,3,9273,Camiseta,L,4,52355.94,209423.76,11,909543.34
106,2026-01-01,19,Natalia,Rojas Torres,85637973,1,2790,Sudadera,XXL,3,137626.47,412879.41,5,629177.33
106,2026-01-01,19,Natalia,Rojas Torres,85637973,2,7841,Chaqueta,XL,2,108148.96,216297.92,5,629177.33
107,2025-09-20,5,Pedro,Mendoza Navarro,95722555,1,6786,Pantalon,34,3,109301.82,327905.46,3,327905.46
108,2025-12-26,25,Laura,Castro Castro,88137437,1,8492,Sudadera,M,5,120187.31,600936.55,9,1258808.39
108,2025-12-26,25,Laura,Castro Castro,88137437,2,9045,Zapatos,39,4,164467.96,657871.84,9,1258808.39
109,2025-10-22,23,Camila,Navarro Ruiz,13182175,1,2078,Chaqueta,L,2,113713.83,227427.66,7,736925.71
109,2025-10-22,23,Camila,Navarro Ruiz,13182175,2,6561,Sudadera,M,5,101899.61,509498.05,7,736925.71
110,2026-02-06,8,Felipe,Sanchez Diaz,97205801,1,4992,Chaqueta,M,5,106194.5,530972.5,18,1791585.74
110,2026-02-06,8,Felipe,Sanchez Diaz,97205801,2,9663,Chaqueta,L,2,111670.58,223341.16,18,1791585.74
110,2026-02-06,8,Felipe,Sanchez Diaz,97205801,3,4012,Vestido,L,2,111656.8,223313.6,18,1791585.74
110,2026-02-06,8,Felipe,Sanchez Diaz,97205801,4,8523,Gorra,Unica,4,35944.72,143778.88,18,1791585.74
110,2026-02-06,8,Felipe,Sanchez Diaz,97205801,5,9483,Zapatos,42,5,134035.92,670179.6,18,1791585.74
111,2025-12-17,12,Sofia,Vargas Sanchez,73207542,1,5309,Zapatos,37,2,136467.17,272934.34,2,272934.34
112,2026-03-17,12,Sofia,Vargas Sanchez,73207542,1,1926,Chaqueta,L,6,137758.97,826553.82,12,1532936.36
112,2026-03-17,12,Sofia,Vargas Sanchez,73207542,2,5321,Sudadera,XL,2,119504.57,239009.14,12,1532936.36
